id,short_title,long_title,act_number,act_year,enact_date,enforcement_date,jurisdiction,ministry,department,section_count,in_force,unit
aadhaar-targeted-delivery-financial-other-subsidies-benefits-services,"The Aadhaar (Targeted Delivery of Financial and Other Subsidies, Benefits and Services) Act, 2016.","An Act to provide for, as a good governance, efficient, transparent, and targeted delivery of subsidies, benefits and services, the expenditure for which is incurred from the Consolidated Fund of India, to individuals residing in India through assigning of unique identity numbers to such individuals and for matters connected therewith or incidental thereto.",18,2016,2016-03-25,2016-09-12,CENTRAL,Ministry of Electronics and Information Technology,,69,1,section
abu-area-laws-act-1975,"The Abu Area Laws Act, 1975",,25,1975,1975-06-11,,Rajasthan,,Revenue Department,5,1,section
academy-scientific-innovative-research-act-2011,"The Academy of Scientific and Innovative Research Act, 2011","An Act to establish an Academy for furtherance of the advancement of learning and prosecution of research in the field of science and technology in association with Council of Scientific and Industrial Research and to declare the institution known as the Academy of Scientific and Innovative Research, to be an institution of national importance to provide for its incorporation and matters connected therewith or incidental thereto.",13,2012,2012-02-06,2012-04-03,CENTRAL,Ministry of Science and Technology,Department of Secientific and Industrial Research,38,1,section
acquired-territories-merger-act-1960,"The Acquired Territories (Merger) Act, 1960","An Act to provide for the merger into the States of Assam, Punjab and West Bengal of certain territories acquired in pursuance of the agreements entered into between the Governments of India and Pakistan and for matters connected therewith.",64,1960,1960-12-28,1961-01-17,CENTRAL,Ministry of Home Affairs,Department of States,11,1,section
acquisition-certain-area-at-ayodhya-act-1993,"The Acquisition of Certain Area at Ayodhya Act, 1993",An Act to provide for the acquisition of certain area at Ayodhya and for matters connected therewith or incidental thereto.,33,1993,1993-04-03,1993-01-07,CENTRAL,Ministry of Home Affairs,Department of Home,13,1,section
actuaries-act-2006,"The Actuaries Act, 2006",An Act to provide for regulating and developing the profession of Actuaries and for matters connected therewith or incidental thereto.,35,2006,2006-08-27,2006-11-10,CENTRAL,Ministry of Finance,Department of Financial Services,59,1,section
administrative-tribunals-act-1985,"The Administrative Tribunals Act, 1985",An Act to provide for the adjudication or trial by Administrative Tribunals of disputes and complaints with respect to recruitment and conditions of service of persons appointed to public services and posts in connection with the affairs of the Union or of any State or of any local or other authority within the territory of India or under the control of the Government of India or of any corporation or society owned or controlled by the Government in pursuance of article 323A of the Constitution and for matters connected therewith or incidental thereto.,13,1985,1985-02-27,1985-07-01,CENTRAL,"Ministry of Personnel, Public Grievances and Pensions",Department of Personnel and Training,41,1,section
administrators-general-act-1963,"The Administrators-General Act, 1963",An Act to consolidate and amend the law relating to the office and duties of Administrators-General.,45,1963,1963-12-11,1964-03-01,CENTRAL,Ministry of Law and Justice,Legislative Department,64,1,section
admiralty-jurisdiction-settlement-maritime-claims-act-2017,"The Admiralty (Jurisdiction and Settlement of Maritime Claims) Act, 2017","An Act to consolidate the laws relating to admiralty jurisdiction, legal proceedings in connection with vessels, their arrest, detention, sale and other matters connected therewith or incidental thereto.",22,2017,2017-08-09,,CENTRAL,Ministry of Shipping,,18,1,section
advocates-act-1961,"The Advocates Act, 1961",An Act to amend and consolidate the law relating to the legal practitioners and to provide for the constitution of Bar Councils and an All-India Bar.,25,1961,1961-05-19,1961-08-16,CENTRAL,Ministry of Law and Justice,Department of Legal Affairs,85,1,section
