kind,title,year,jurisdiction,ministry,act,act_title
annexure,ANNEXURE,1972,CENTRAL,Ministry of Civil Aviation,carriage-by-air-act-1972,"The Carriage by Air Act, 1972"
annexure,ANNEXURE,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
annexure,ANNEXURE-A,1870,CENTRAL,Ministry of Law and Justice,court-fees-act-1870,"The Court-Fees Act, 1870"
annexure,ANNEXURE-B,1870,CENTRAL,Ministry of Law and Justice,court-fees-act-1870,"The Court-Fees Act, 1870"
annexure,Annexure - A,2019,Maharashtra,Govt of Maharashtra,maharashtra-settlement-arrears-tax-interest-penalty-or-late-maharashtra-2019,"The Maharashtra Settlement of Arrears of Tax, Interest, Penalty or Late Fee Act, 2019"
annexure,Annexure - B,2019,Maharashtra,Govt of Maharashtra,maharashtra-settlement-arrears-tax-interest-penalty-or-late-maharashtra-2019,"The Maharashtra Settlement of Arrears of Tax, Interest, Penalty or Late Fee Act, 2019"
annexure,Annexure-A,2022,Maharashtra,Govt of Maharashtra,maharashtra-settlement-arrears-tax-interest-penalty-or-late,"The Maharashtra Settlement of Arrears of Tax, Interest, Penalty or Late Fee Act, 2022."
annexure,Annexure-B,2022,Maharashtra,Govt of Maharashtra,maharashtra-settlement-arrears-tax-interest-penalty-or-late,"The Maharashtra Settlement of Arrears of Tax, Interest, Penalty or Late Fee Act, 2022."
appendix,APPENDIX,1996,CENTRAL,Ministry of Law and Justice,arbitration-act,"The Arbitration and Conciliation Act, 1996"
appendix,APPENDIX,1984,CENTRAL,Ministry of Home Affairs,terrorist-affected-areas-special-courts-act-1984,"The Terrorist Affected Areas (Special Courts) Act, 1984"
appendix,APPENDIX,1984,CENTRAL,Ministry of Home Affairs,terrorist-affected-areas-special-courts-act-1984,"The Terrorist Affected Areas (Special Courts) Act, 1984"
appendix,APPENDIX A. PLEADINGS.,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,APPENDIX B. PROCESS,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,"APPENDIX C. DISCOVERY, INSPECTION AND ADMISSION",1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,APPENDIX D. DECREES,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,APPENDIX E. EXECUTION,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,APPENDIX F. SUPPLEMENTAL PROCEEDINGS,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,"APPENDIX G. APPEAL, REFERENCE AND REVIEW",1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,APPENDIX H MISCELLANEOUS,1908,CENTRAL,Ministry of Law and Justice,cpc,"The Code of Civil Procedure, 1908"
appendix,APPENDIX I,1972,CENTRAL,"Ministry of Environment, Forest and Climate Change",wild-life-protection-act-1972,"The Wild Life (Protection) Act, 1972"
appendix,APPENDIX I,2005,CENTRAL,Ministry of Home Affairs,state-emblem-india-prohibition-improper-use-act-2005,"The State Emblem of India (Prohibition of Improper Use) Act, 2005"
appendix,APPENDIX II,2005,CENTRAL,Ministry of Home Affairs,state-emblem-india-prohibition-improper-use-act-2005,"The State Emblem of India (Prohibition of Improper Use) Act, 2005"
appendix,APPENDIX II,1972,CENTRAL,"Ministry of Environment, Forest and Climate Change",wild-life-protection-act-1972,"The Wild Life (Protection) Act, 1972"
appendix,APPENDIX-I,2005,CENTRAL,Ministry of Home Affairs,state-emblem-india-prohibition-improper-use-act-2005,"The State Emblem of India (Prohibition of Improper Use) Act, 2005"
appendix,APPENDIX-I,2016,CENTRAL,Ministry of Law and Justice,commercial-courts-act-2015,"The Commercial Courts Act, 2015"
